hazard,NAME_3,prob,vs_regional,pendorong_1,shap_p1,pendorong_2,shap_p2,pendorong_3,shap_p3,pelindung_1,shap_pel1,pelindung_2,shap_pel2
longsor,Bajo,1.0,0.5837,ndvi,0.462,curah_hujan,0.0162,jarak_sungai_km,0.0079,slope,-0.0464,aspect,-0.0359
longsor,Bajo Barat,0.2611,-0.1552,ndvi,0.3703,curah_hujan,0.0141,elevasi,0.0137,slope,-0.0592,aspect,-0.0392
longsor,Bassesangtempe,0.7686,0.3523,ndvi,0.4295,slope,0.0336,curah_hujan,0.0247,aspect,-0.0343,,
longsor,Bua,0.6533,0.237,ndvi,0.4261,slope,0.0357,curah_hujan,0.0217,aspect,-0.0351,elevasi,-0.0015
longsor,Bupon,0.6668,0.2505,ndvi,0.4267,jarak_sungai_km,0.013,curah_hujan,0.0034,slope,-0.0415,aspect,-0.036
longsor,Kamanre,1.0,0.5837,ndvi,0.4412,jarak_sungai_km,0.0152,curah_hujan,0.0108,slope,-0.0447,aspect,-0.0226
longsor,Larompong,0.7667,0.3504,ndvi,0.3947,slope,0.0574,curah_hujan,0.0155,aspect,-0.0287,,
longsor,Larompong Selatan,0.2144,-0.2019,slope,0.0679,jarak_sungai_km,0.0244,curah_hujan,0.0141,ndvi,-0.1259,aspect,-0.0585
longsor,Latimojong,0.8025,0.3862,ndvi,0.4379,slope,0.028,jarak_sungai_km,0.0147,aspect,-0.0393,elevasi,-0.0019
longsor,Suli,1.0,0.5837,ndvi,0.4119,slope,0.0169,jarak_sungai_km,0.0151,,,,
longsor,Suli Barat,0.837,0.4207,ndvi,0.4623,curah_hujan,0.0142,jarak_sungai_km,0.0107,aspect,-0.0366,slope,-0.032
longsor,Walenrang,1.0,0.5837,ndvi,0.402,slope,0.0274,curah_hujan,0.0229,aspect,-0.0303,jarak_sungai_km,-0.0051
longsor,Walenrang Barat,0.6345,0.2182,ndvi,0.4417,slope,0.0244,jarak_sungai_km,0.0142,aspect,-0.0372,elevasi,-0.0015
longsor,Walenrang Utara,0.7209,0.3046,ndvi,0.2541,slope,0.0451,jarak_sungai_km,0.0154,aspect,-0.0387,curah_hujan,-0.0001
longsor,Angkona,0.5,0.0837,ndvi,0.3945,jarak_sungai_km,0.0244,elevasi,0.0025,curah_hujan,-0.1368,aspect,-0.038
longsor,Burau,0.5,0.0837,ndvi,0.4265,slope,0.0344,jarak_sungai_km,0.0128,aspect,-0.0362,,
longsor,Malili,0.5336,0.1173,ndvi,0.4285,jarak_sungai_km,0.0134,curah_hujan,0.0097,aspect,-0.04,slope,-0.0384
longsor,Mangkutana,0.5305,0.1142,ndvi,0.4356,curah_hujan,0.0155,jarak_sungai_km,0.0155,aspect,-0.0354,elevasi,-0.0023
longsor,Nuha,0.4198,0.0035,ndvi,0.4082,slope,0.0397,jarak_sungai_km,0.0133,aspect,-0.0383,,
longsor,Tomoni,1.0,0.5837,ndvi,0.4266,slope,0.0276,jarak_sungai_km,0.0157,aspect,-0.0355,,
longsor,Towuti,0.4118,-0.0045,ndvi,0.425,jarak_sungai_km,0.0139,curah_hujan,0.0021,aspect,-0.0406,slope,-0.0253
longsor,Wasuponda,0.3179,-0.0984,ndvi,0.0588,slope,0.0328,jarak_sungai_km,0.0135,aspect,-0.0593,curah_hujan,-0.0017
longsor,Baebunta,0.5,0.0837,ndvi,0.3353,aspect,0.0809,slope,0.0315,,,,
longsor,Bone-Bone,1.0,0.5837,ndvi,0.3807,slope,0.0458,curah_hujan,0.0231,aspect,-0.0338,,
longsor,Limbong,0.472,0.0557,ndvi,0.4268,jarak_sungai_km,0.0161,slope,0.0126,aspect,-0.0394,elevasi,-0.006
longsor,Masamba,0.6312,0.2149,ndvi,0.4183,slope,0.033,jarak_sungai_km,0.0174,aspect,-0.0414,elevasi,-0.0036
longsor,Rampi,0.1278,-0.2885,,,,,,,ndvi,-0.3481,aspect,-0.0735
longsor,Sabbang,0.4027,-0.0136,slope,0.0259,jarak_sungai_km,0.0037,,,ndvi,-0.3855,aspect,-0.0763
longsor,Seko,0.303,-0.1133,ndvi,0.2517,curah_hujan,0.0254,jarak_sungai_km,0.013,aspect,-0.0478,elevasi,-0.0057
