Model,CV_AUC,Spatial_AUC,Spatial_Std,F1,Brier,Composite,Rank,Hazard
RF,0.9939,0.9916115463483886,0.008119574336622947,0.9565217391304348,0.036150909025724064,0.9970059666867872,1,Longsor
LightGBM,0.9945,0.9913826232247285,0.006703855530034865,0.9565217391304348,0.03784115571993385,0.9756514006418991,2,Longsor
XGBoost,0.9906,0.9811618206355049,0.010208244246920758,0.9333333333333333,0.04034497505649065,0.6432235735653868,3,Longsor
SVM,0.9784,0.9724717387875282,0.021035262733793518,0.9545454545454546,0.04474668510633034,0.6389055821477653,4,Longsor
LR,0.9444,0.9402102575786786,0.04146010531505879,0.9545454545454546,0.04738570479567388,0.1829545509160075,5,Longsor
RF,0.9333,0.9481481481481481,0.040908744508101,1.0,0.01643749408382293,0.7350682227603246,1,Banjir
XGBoost,0.9333,0.9388888888888888,0.04374448818895452,1.0,0.011256065206882663,0.6787250749506246,2,Banjir
LR,0.8833,0.936026936026936,0.05598750554988515,1.0,0.023021299672218925,0.476506867022157,3,Banjir
LightGBM,0.95,0.9015752765752766,0.0066817312322309174,1.0,0.023732817306058793,0.3441788791241067,4,Banjir
SVM,0.85,0.9114478114478115,0.06507817412123099,1.0,0.044783031586394066,0.08479215344088029,5,Banjir
